id_sample;ADH1C;DHRS11;UGP2;SLC7A5;CTSS;DAO;NIBAN1;PRUNE2;FOXF2;TENT5C;KLF10;FABP1;RPSAP19;NCAPH;TPM1;PLA2G12B;PLAAT4;IGLV8-61;GSS;L1TD1;RNF186;HES2;MXRA8;SOX18;NDFIP2;SIAE;NEURL1B;DDIT4;TRPM4;RETREG1;OTULINL;CPVL;SAMD9;ANKRD40CL;EPN3;CRYBG2;GIPC2;P3H2;STEAP3;THNSL2;TRAPPC14;RHBDL2;RPP25;SEMA4C;RNF43;EPS8L1;TOR4A;PAQR5;SIDT1;ESRP1;SYTL2;BSPRY;CDHR2;ERRFI1;CLIC5;PLLP;GAL;CRYL1;YBX2;ANGPTL4;tissue_status
EPSM-COLON-0001;9.199944;6.090054;7.062511999999997;3.8642535000000002;7.869368;8.465133;1.1746649999999996;0.9750864999999992;3.0289949999999988;6.3509189999999975;4.8864945;11.4678355;2.3496644999999994;3.2473375;3.8850830000000003;2.651308;6.139054;11.9041105;5.7707644999999985;4.3641385;5.948596499999999;3.966854;3.5569260000000003;2.8818654999999995;5.254155999999998;5.8899940000000015;4.914704;5.841828;5.8777715;4.724760999999999;5.4382569999999975;3.3785295000000004;3.3960379999999994;4.6614735000000005;3.7596010000000004;2.993865;5.514014999999999;2.7078324999999994;5.365839499999998;1.1991595;3.700149;4.407451999999998;5.405844;2.3557434999999995;4.241267499999998;3.4901915;5.535111500000001;4.593671499999999;1.8844665000000005;6.4238745;3.951685500000001;5.5283715;3.5007300000000003;2.8937595000000003;5.130743000000002;1.4851099999999997;1.830484;6.3799325000000024;3.919293;3.0314125;normal
EPSM-COLON-0002;7.767617666666666;6.027984757575758;6.3188181313131295;3.069580661616162;6.410333545454545;8.15981437878788;5.959413681818181;1.6255182777777772;2.984628803030302;4.6860858737373725;5.947793510101008;11.44605143939394;2.3172807727272726;3.864902257575759;6.123758666666667;3.288092277777777;5.48353154040404;6.3967343484848485;5.84905645959596;2.4796172979797984;6.3684009040404055;2.1503717474747472;4.164268959595958;2.112856762626262;5.003746560606062;4.982537454545454;4.736503611111112;4.3583803939393935;5.528073984848485;4.0683011969696965;3.1460434444444445;3.948588954545455;3.6652195707070714;3.4823295;3.4420593282828285;3.819260767676768;5.077480545454545;3.1411828131313126;4.682381722222222;2.9235850656565647;3.9140420151515154;4.135013757575757;4.203455560606061;3.611137964646464;4.002000227272727;2.779211136363635;6.077375136363638;4.929379388888889;0.9655892878787878;5.3386365;4.2697278333333335;5.6717885;4.65878954040404;4.715374075757576;5.4381039848484845;2.1314659595959595;2.0971567777777778;6.863172823232322;0.32282882828282833;3.9785308030303024;normal
EPSM-COLON-0003;7.918904232323233;5.88594815151515;6.917742242424241;3.1882569040404043;7.91554906060606;8.004193787878789;1.5603861212121206;2.379908944444444;2.9297621414141406;4.281126464646464;4.666942904040403;12.6483475;2.168907075757576;2.4584141767676773;6.3048558939393935;3.3442403888888887;6.947120707070706;8.232526398989897;4.433916257575758;3.4190270050505065;5.1810602171717175;3.092117353535353;3.79680107070707;3.0907682777777765;5.43259404040404;3.36021797979798;4.99681840909091;4.907265363636364;5.528073984848485;5.136233156565656;2.268182111111112;2.7107357121212123;4.198904823232324;3.9663931666666654;3.9639994040404045;3.464318898989899;4.728704636363637;3.2574891161616164;3.7255408333333326;2.788248136363636;3.5997450707070713;3.0575775151515145;3.9759766666666665;2.141414328282828;3.4471742070707068;0.8832629545454541;4.48035942929293;3.6194041060606064;3.2831262575757583;6.820828499999998;4.050932580808081;4.596079409090909;5.649376015151515;4.047899227272728;6.5809384545454535;1.4472088333333333;3.890943404040404;6.209703712121211;3.274406686868687;3.714491106060605;normal
EPSM-COLON-0004;9.053553474747474;6.027984757575758;7.08108518181818;2.3575232070707077;5.657725787878787;8.004193787878789;3.5489876212121207;3.2600313888888883;3.3138287727272715;4.821072343434341;4.666942904040403;4.592963893939395;2.5398413181818182;3.8297400555555567;6.606684606060607;2.5581668333333334;5.48353154040404;7.476612025252526;5.716387065656567;2.825715611111112;5.729063611111113;1.4283667828282829;3.462739353535353;2.6833051464646456;5.168687898989899;6.446581858585857;5.100944328282829;4.129678323232324;3.66123143939394;3.7679453333333335;2.195027;3.658878621212122;4.632524090909091;3.5195651666666663;4.520735484848486;3.641789833333333;4.066030409090909;3.567639257575757;4.2723070555555545;2.6190769747474745;2.5711368888888892;5.122663646464645;3.845988727272727;4.231687944444444;3.655233964646464;3.5970711363636347;4.754133550505051;3.8672372676767672;3.2107032272727274;5.6131165;4.3572459343434335;4.135061227272727;5.437107484848484;4.537380782828284;4.615263166666667;1.004454222222222;1.8409015454545448;6.774063398989898;3.3205250909090913;3.0807958333333327;normal
EPSM-COLON-0005;6.027822161616162;5.79125708080808;5.937684606060605;4.137666843434344;5.818998878787879;8.05606731818182;3.3079450151515144;5.208873944444443;4.191695358585857;5.181036262626262;5.7770134292929285;12.407888287878787;2.0576268030303027;3.0561716111111115;7.8743651969696975;3.0073517222222215;5.306126792929292;3.589052388888889;4.964593833333334;2.2818468333333337;4.2220542777777785;3.6257731969696967;5.233266454545453;2.8462903989898978;5.1356996313131305;3.36021797979798;5.231101727272729;4.221159151515152;6.0067515606060615;2.7000133737373737;4.828611;3.2111444696969698;2.9314023484848484;4.636635166666666;3.546447343434344;2.6479526010101013;4.170663181818182;2.792263904040404;3.7255408333333326;3.0589219949494932;4.22833895959596;4.0003342272727265;4.3334435;3.447835338383837;3.8632937222222217;4.154702954545453;5.575455914141416;4.256689378787879;1.363915954545455;7.095308500000001;1.9067391060606065;3.674043045454545;6.286181606060605;4.715374075757576;4.432409651515151;0.15919541919191885;3.506560555555556;6.1502974292929276;0.4611840404040404;5.140305469696969;normal
EPSM-COLON-0006;6.406038575757576;2.335033;7.08108518181818;3.227815651515152;5.3889373030303025;8.004193787878789;4.513158045454545;2.442774833333333;4.136828696969697;2.256329419191919;5.734318409090909;10.965133015151515;2.243093924242424;2.0013055505050508;3.528031742424243;2.3335743888888887;6.1487993434343435;2.509174712121212;7.1757503989899005;1.1941092777777778;5.089726318181818;1.3969752626262624;3.9638319292929287;3.0907682777777765;3.849157191919192;3.2415116767676766;5.205070247474748;4.953005777777777;5.671677257575758;5.069487409090909;3.109465888888889;3.5535294090909093;3.698574898989899;2.0301385;3.9639994040404045;3.6062956464646465;2.566294;2.9473389747474736;3.315466166666666;2.8559166010101005;2.113977696969697;4.987984116161615;3.716000787878788;3.8071011161616153;3.6899105909090895;3.9316502272727263;5.256052772727274;4.008856217171717;0.5672626212121212;5.4484285;4.6635592878787895;4.173479409090909;6.498450136363635;3.9144042575757583;4.889543439393938;1.60821051010101;2.6096672424242424;4.93246863131313;3.966182747474748;2.3414846818181814;normal
EPSM-COLON-0007;3.9854535252525265;5.033728515151513;7.571113999999998;3.9794318535353534;5.926514272727273;7.9523202575757574;3.91055153030303;4.580215055555555;4.191695358585857;3.291225686868686;6.11857359090909;12.528117893939395;2.243093924242424;3.2319826212121217;8.115828166666667;1.2106121666666665;5.217424419191918;4.560942297979798;5.451048277777778;3.1223713080808086;6.1857331060606064;3.3118579949494946;3.59636404040404;3.2130072171717163;5.696500181818181;6.209169252525252;4.840629530303032;5.044486606060606;6.341825863636363;5.269724651515151;4.792033444444446;4.659696136363637;3.09817898989899;4.5993995000000005;4.555531489898991;2.6124584141414138;5.112358136363637;3.0636452777777774;3.8622323888888883;2.8559166010101005;4.171194060606061;3.7758683434343423;3.9759766666666665;4.688935297979796;3.516527459595959;3.336842954545453;5.392939833333334;4.50452254040404;2.124357772727273;1.7155004999999997;2.5631248636363644;3.674043045454545;2.394591883838384;4.6708757525252524;4.4781230303030295;1.2057063181818177;2.6096672424242424;7.100797954545453;1.2451969090909092;4.136954621212121;normal
EPSM-COLON-0008;9.734343020202019;5.88594815151515;7.162756651515149;4.295901833333334;8.184337545454547;9.093537924242426;3.0669024090909085;3.2600313888888883;4.027095373737373;4.5960948939393935;5.392758247474747;7.117785621212121;2.4656544696969696;3.4077936313131323;7.270707772727272;3.3442403888888887;5.0843708585858565;8.988440772727273;5.716387065656567;2.72683037878788;3.308715287878788;1.2086261414141408;2.5607727171717167;3.3759924696969685;3.5522627828282825;5.0616749898989895;5.673636883838386;3.7637550101010095;3.421892651515152;3.667826712121212;3.072888333333333;3.81690243939394;3.9987728535353537;3.5940365;4.311959454545455;3.5708014595959594;3.856764863636364;2.3270386919191908;4.033096833333332;2.348403116161616;4.0854767121212126;2.29439351010101;3.7484977727272732;2.5986616818181814;4.0713534797979785;2.295930227272726;5.575455914141416;1.8137625;2.848588075757576;5.7778045;4.882354540404041;4.9802612272727265;6.1446692525252535;6.450808681818183;5.849524393939394;2.332718055555556;2.8659224747474745;7.100797954545453;0.4611840404040404;4.612226075757575;normal
EPSM-COLON-0009;8.9095935;5.762812500000001;6.770877499999999;2.8708155;7.4168515;8.441183500000001;2.9133085;2.5457265;3.5929495000000005;5.149001500000002;5.2793315000000005;11.115257499999998;2.3530705000000003;2.9370724999999998;5.5338475;3.2183585;4.3869425;1.2133214999999995;4.780799499999999;3.4994315;5.9713025;3.5819135;3.3419644999999996;2.4676975;5.1301285000000005;6.1332285;5.333346499999998;3.9663904999999997;6.0477275000000015;4.5457485;4.9815475;4.449785499999999;3.7464165;4.4450805;3.3135855000000003;3.3394644999999996;4.9577015000000015;2.2971585;4.1153505;1.6944734999999995;3.5126235;4.1096135;4.1189235;2.6866075;3.9022105000000002;2.7697724999999997;4.794071499999999;4.6575795000000015;2.4018165;6.1324705;4.2759375;4.5373275;5.8301955;4.2395535;5.0878485;1.8342064999999999;1.7691594999999998;6.8010515;2.9424095;2.5142745;normal
EPSM-COLON-0010;7.767617666666666;5.459838333333333;6.836070772727273;3.069580661616162;6.14154506060606;8.10794084848485;3.970812181818181;4.83167861111111;4.850095297979797;4.551099404040404;5.0085030656565666;11.926969863636366;2.2060005;2.915522803030304;5.2182725303030315;3.9057215;7.213227828282827;4.992893368686868;6.291287772727275;2.875158227272728;5.135393267676768;3.5002071161616155;3.2623023232323227;4.679874489898988;5.531558843434343;5.180381292929292;4.684440651515152;4.541342050505051;6.676900166666666;5.403216146464644;4.060482333333334;4.896731863636363;4.132194166666666;2.663144833333333;3.5812433484848487;3.712778207070707;4.066030409090909;1.4353570353535348;2.3586252777777776;3.4987670151515142;4.142621611111111;4.269693287878787;3.943479681818181;4.786916873737372;3.343144328282828;4.229053863636362;4.799762570707071;4.893974651515151;0.27757049999999994;5.9973885000000005;5.144908843434344;4.865006681818182;6.003156898989898;5.5163438939393945;4.2952695151515154;1.5679600909090907;4.531581484848486;5.942375439393937;2.5365122222222225;2.2358688030303027;normal
